Timestamp,Chunk_ID,Strategy,Budget,Fitness,Macro_F1,Utility,Confidence,Cost,FACI_Vector
2026-07-19T17:40:09.174192,0,Hybrid,3,0.8322826138723832,0.11558897243107769,0.8322826138723832,0.5548550759149221,0.3821738612761664,"[0.43983333333333335, 0.0, 0.017280660113890695, 0.025, 0.03333333333333333, 0.8337820902573642, 0.3181124053739839, 0.10410445557272834]"
2026-07-19T17:40:09.443666,1,Hybrid,3,0.8339417447596579,0.42846040952259995,0.8339417447596579,0.5559611631731053,0.3534651825833733,"[0.44749999999999995, 0.0, 0.005088205494963942, 0.025, 0.016666666666666666, 0.8554690867563796, 0.3000657309092132, 0.06555178481173098]"
2026-07-19T17:40:09.693968,2,Hybrid,3,0.8339417447596579,0.5103704173648569,0.8339417447596579,0.5559611631731053,0.3534651825833733,"[0.4616666666666667, 0.0, 0.00982858051239555, 0.075, 0.05, 0.8330670339944255, 0.33055979075258657, 0.08550833430338775]"
2026-07-19T17:40:09.941597,3,Hybrid,3,0.8339417447596579,0.5194050880626223,0.8339417447596579,0.5559611631731053,0.3534651825833733,"[0.4211666666666667, 0.0, 0.01457268714048197, 0.0, 0.03333333333333333, 0.8238697060325606, 0.3274886794890347, 0.10298917133995784]"
2026-07-19T17:40:10.185996,4,Hybrid,3,0.8339417447596579,0.4676984126984127,0.8339417447596579,0.5559611631731053,0.3534651825833733,"[0.33399999999999996, 0.0, 0.021661815196297958, 0.025, 0.03333333333333333, 0.880253748020978, 0.33781219214104696, 0.07355754898725722]"
2026-07-19T17:40:10.436630,5,Hybrid,3,0.8339417447596579,0.4909003725837297,0.8339417447596579,0.5559611631731053,0.3534651825833733,"[0.4539999999999999, 0.0, 0.02308661201353122, 0.0, 0.05, 0.8445701948996005, 0.2889806904190738, 0.0625876451243469]"
2026-07-19T17:40:10.679668,6,Hybrid,3,0.8339417447596579,0.4697872333758285,0.8339417447596579,0.5559611631731053,0.3534651825833733,"[0.358, 0.0, 0.003496503496503497, 0.05, 0.016666666666666666, 0.8486700139752721, 0.35781780288859927, 0.06302198004035728]"
2026-07-19T17:40:10.923471,7,Hybrid,3,0.8339417447596579,0.48119769119769124,0.8339417447596579,0.5559611631731053,0.3534651825833733,"[0.3465, 0.0, 0.018597560975609755, 0.0, 0.03333333333333333, 0.859309493909427, 0.32807929590835905, 0.06964771247975406]"
2026-07-19T17:40:11.168293,8,Hybrid,3,0.8339417447596579,0.46500238891543233,0.8339417447596579,0.5559611631731053,0.3534651825833733,"[0.4301666666666667, 0.0, 0.0015625, 0.025, 0.03333333333333333, 0.8540653884183241, 0.2832927785596894, 0.07647956894852484]"
2026-07-19T17:40:11.420233,9,Hybrid,3,0.8339417447596579,0.44619974617211167,0.8339417447596579,0.5559611631731053,0.3534651825833733,"[0.5195000000000001, 0.0, 0.012199675315521363, 0.075, 0.03333333333333333, 0.7755347186444423, 0.26213447739764784, 0.12311720770285779]"
