Timestamp,Chunk_ID,Strategy,Budget,Fitness,Macro_F1,Utility,Confidence,Cost,FACI_Vector
2026-07-19T17:40:54.548655,16,Hybrid,3,0.8223109847168696,0.48020467865764704,0.8223109847168696,0.5482073231445798,0.35689015283130254,"[0.3861666666666667, 0.0, 0.05013769763550273, 0.025, 0.03333333333333333, 0.8800741505228282, 0.3112573089475704, 0.03386045178554815]"
2026-07-19T17:40:54.808874,17,Hybrid,3,0.8223109847168696,0.4834156097313992,0.8223109847168696,0.5482073231445798,0.35689015283130254,"[0.5348333333333335, 0.0, 0.023854730688647546, 0.125, 0.0, 0.8357600383279429, 0.32099858032020545, 0.08131401940829155]"
2026-07-19T17:40:55.065441,18,Hybrid,3,0.8223109847168696,0.444818401937046,0.8223109847168696,0.5482073231445798,0.35689015283130254,"[0.4496666666666666, 0.0, 0.0063923764677533525, 0.025, 0.0, 0.8464228080107363, 0.3621734170985119, 0.06556718291627855]"
2026-07-19T17:40:55.318852,19,Hybrid,3,0.8223109847168696,0.41681119432400476,0.8223109847168696,0.5482073231445798,0.35689015283130254,"[0.3453333333333334, 0.0, 0.051135790982472895, 0.05, 0.03333333333333333, 0.8779064566762269, 0.3019312268917832, 0.05921987955143436]"
2026-07-19T17:48:05.828243,0,Hybrid,3,0.8010484695300155,0.16880187273888062,0.8010484695300155,0.5340323130200103,0.3222696260240737,"[0.43983333333333335, 0.0, 0.017280660113890695, 0.025, 0.03333333333333333, 0.8337820902573642, 0.3181124053739839, 0.10410445557272834]"
2026-07-19T17:48:06.197607,1,Hybrid,5,0.8090445792392913,0.2404286770140429,0.8090445792392913,0.5393630528261942,0.6000000000000001,"[0.44749999999999995, 0.0, 0.005088205494963942, 0.025, 0.016666666666666666, 0.8554690867563796, 0.3000657309092132, 0.06555178481173098]"
2026-07-19T17:48:06.560027,2,Hybrid,3,0.8196615826718587,0.3572207792207792,0.8196615826718587,0.5464410551145725,0.39146971660345153,"[0.4616666666666667, 0.0, 0.00982858051239555, 0.075, 0.05, 0.8330670339944255, 0.33055979075258657, 0.08550833430338775]"
2026-07-19T17:48:06.890891,3,Hybrid,3,0.8196615826718587,0.41869756387403445,0.8196615826718587,0.5464410551145725,0.39146971660345153,"[0.4211666666666667, 0.0, 0.01457268714048197, 0.0, 0.03333333333333333, 0.8238697060325606, 0.3274886794890347, 0.10298917133995784]"
2026-07-19T17:48:07.221726,4,Hybrid,3,0.8196615826718587,0.42987459703417147,0.8196615826718587,0.5464410551145725,0.39146971660345153,"[0.33399999999999996, 0.0, 0.021661815196297958, 0.025, 0.03333333333333333, 0.880253748020978, 0.33781219214104696, 0.07355754898725722]"
2026-07-19T17:48:07.557531,5,Hybrid,3,0.8196615826718587,0.46262133558470964,0.8196615826718587,0.5464410551145725,0.39146971660345153,"[0.4539999999999999, 0.0, 0.02308661201353122, 0.0, 0.05, 0.8445701948996005, 0.2889806904190738, 0.0625876451243469]"
2026-07-19T17:48:07.884284,6,Hybrid,3,0.8196615826718587,0.4783863106040965,0.8196615826718587,0.5464410551145725,0.39146971660345153,"[0.358, 0.0, 0.003496503496503497, 0.05, 0.016666666666666666, 0.8486700139752721, 0.35781780288859927, 0.06302198004035728]"
2026-07-19T17:48:08.216612,7,Hybrid,3,0.8196615826718587,0.527892730862837,0.8196615826718587,0.5464410551145725,0.39146971660345153,"[0.3465, 0.0, 0.018597560975609755, 0.0, 0.03333333333333333, 0.859309493909427, 0.32807929590835905, 0.06964771247975406]"
2026-07-19T17:48:08.551425,8,Hybrid,3,0.8196615826718587,0.5214718614718615,0.8196615826718587,0.5464410551145725,0.39146971660345153,"[0.4301666666666667, 0.0, 0.0015625, 0.025, 0.03333333333333333, 0.8540653884183241, 0.2832927785596894, 0.07647956894852484]"
2026-07-19T17:48:08.889524,9,Hybrid,3,0.8196615826718587,0.5190220614101211,0.8196615826718587,0.5464410551145725,0.39146971660345153,"[0.5195000000000001, 0.0, 0.012199675315521363, 0.075, 0.03333333333333333, 0.7755347186444423, 0.26213447739764784, 0.12311720770285779]"
2026-07-19T17:48:09.233698,10,Hybrid,3,0.8196615826718587,0.5196261832552155,0.8196615826718587,0.5464410551145725,0.39146971660345153,"[0.5323333333333333, 0.0, 0.013964284291148812, 0.05, 0.03333333333333333, 0.844091578878521, 0.30539282115103705, 0.042983578606256956]"
2026-07-19T17:48:09.617477,11,Hybrid,3,0.8223109847168696,0.5257800294090617,0.8223109847168696,0.5482073231445798,0.35689015283130254,"[0.5691666666666668, 0.0, 0.007989528023830062, 0.025, 0.05, 0.8225096832562334, 0.34348306208882695, 0.07003120715886521]"
2026-07-19T17:48:09.967257,12,Hybrid,3,0.8223109847168696,0.49486260454002384,0.8223109847168696,0.5482073231445798,0.35689015283130254,"[0.4843333333333333, 0.0, 0.03616216108743629, 0.05, 0.06666666666666667, 0.8243288828349931, 0.33434979393076525, 0.07884026705311697]"
2026-07-19T17:48:10.318693,13,Hybrid,3,0.8223109847168696,0.48416633057740127,0.8223109847168696,0.5482073231445798,0.35689015283130254,"[0.529, 0.0, 0.010079188529651156, 0.025, 0.03333333333333333, 0.8247695781933153, 0.32002377203125726, 0.08656811325655048]"
2026-07-19T17:48:10.661399,14,Hybrid,3,0.8223109847168696,0.48401486125624055,0.8223109847168696,0.5482073231445798,0.35689015283130254,"[0.536, 0.0, 0.020035677879714577, 0.05, 0.016666666666666666, 0.819992295623632, 0.27745183244397087, 0.08837903045680348]"
2026-07-19T17:48:11.017626,15,Hybrid,3,0.8223109847168696,0.47127645502645504,0.8223109847168696,0.5482073231445798,0.35689015283130254,"[0.48683333333333323, 0.0, 0.008775076669074972, 0.05, 0.03333333333333333, 0.8266272056305659, 0.3341659937607887, 0.07387133596115354]"
2026-07-19T17:48:11.372968,16,Hybrid,3,0.8223109847168696,0.45987827773823053,0.8223109847168696,0.5482073231445798,0.35689015283130254,"[0.3861666666666667, 0.0, 0.05013769763550273, 0.025, 0.03333333333333333, 0.8800741505228282, 0.3112573089475704, 0.03386045178554815]"
2026-07-19T17:48:11.738853,17,Hybrid,3,0.8223109847168696,0.45801365335814115,0.8223109847168696,0.5482073231445798,0.35689015283130254,"[0.5348333333333335, 0.0, 0.023854730688647546, 0.125, 0.0, 0.8357600383279429, 0.32099858032020545, 0.08131401940829155]"
2026-07-19T17:48:12.087919,18,Hybrid,3,0.8223109847168696,0.44538082933431766,0.8223109847168696,0.5482073231445798,0.35689015283130254,"[0.4496666666666666, 0.0, 0.0063923764677533525, 0.025, 0.0, 0.8464228080107363, 0.3621734170985119, 0.06556718291627855]"
2026-07-19T17:48:12.444684,19,Hybrid,3,0.8223109847168696,0.4282108022360476,0.8223109847168696,0.5482073231445798,0.35689015283130254,"[0.3453333333333334, 0.0, 0.051135790982472895, 0.05, 0.03333333333333333, 0.8779064566762269, 0.3019312268917832, 0.05921987955143436]"
